Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Text Update Timestamp
ZTyKStENkho,2023-08-09T11:35:10.461896+00:00,,,,Exquisite Stillness,,,,,,,,,,2023-08-09T11:35:10.461896+00:00
7g9HUD8WIFQ,2023-08-09T20:28:25.751058+00:00,,,,"Creative Nature: IndigieFemme, Delbert Anderson,",,,,,,,,,,2023-08-09T20:28:45.159192+00:00
WC_7aNy4h0Q,2023-08-10T11:09:11.384996+00:00,,,,Subversive Nature,,,,,,,,,,2023-08-10T11:09:11.384996+00:00
I4jLSCsX7Pg,2023-08-24T13:41:25.493282+00:00,,,,MM&MAM,,,,,,,,,,2023-08-24T13:41:25.493282+00:00
6KnnDvK-eNo,2023-08-17T18:15:29.99427+00:00,,,,"Tikun Olam:  Indigie Femme, Delbert Anderson",,,,,,,,,,2023-09-12T11:54:37.198244+00:00
 -wEn8GgabJg,2023-08-16T14:59:30.541982+00:00,,,,Woody Guthrie: Subversive Verse,,,,,,,,,,2023-08-16T14:59:30.541982+00:00
_BAWDBn2qHw,2023-08-17T17:02:15.849923+00:00,,,,Corporate Owned Mythology,,,,,,,,,,2023-08-17T17:02:15.849923+00:00
6tP7Zd9WZuU,2023-08-18T21:50:05.655492+00:00,,,,Under Pressure,,,,,,,,,,2023-08-18T21:50:05.655492+00:00
iP1q5XL5YVY,2023-08-31T17:18:22.120699+00:00,,,,Caravan: Duke Ellington,,,,,,,,,,2023-08-31T17:18:22.120699+00:00
1LZAt8QsQxY,2023-09-01T14:25:54.217074+00:00,,,,Keep on Pushin’,,,,,,,,,,2023-09-01T14:25:54.217074+00:00
3DVOHjXGsjY,2023-09-04T12:36:23.386794+00:00,,,,"Fearless Transitions, True Intelligence, and Terrible Truth",,,,,,,,,,2023-09-04T12:36:23.386794+00:00
CTOsxtCzb0o,2023-09-06T00:34:52.103642+00:00,,,,"Thank You, Jesus!",,,,,,,,,,2023-09-06T00:34:52.103642+00:00
JeroTwZFSV8,2023-09-08T20:09:14.722717+00:00,,,,Playful Catharsis,,,,,,,,,,2023-09-08T20:09:14.722717+00:00
TdPxnQhfGWk,2023-09-10T22:44:36.991348+00:00,,,,A Transgender Biologist and a Rabbi Walk Into a Bar,,,,,,,,,,2023-09-10T22:44:36.991348+00:00
3I8b-idCtBo,2023-09-19T00:46:32.188261+00:00,,,,God’s Jealousy,,,,,,,,,,2023-09-19T00:46:32.188261+00:00
sfVIASkSF5k,2023-11-03T01:18:16.329205+00:00,,,,White sands & destination Las Cruces,,,,,,,,,,2023-11-03T01:18:16.329205+00:00
o80zf1oUgfE,2023-11-01T09:01:01.211638+00:00,,,,"Summer 2023: Mom, Mike, Marc, Peewee, & Little Blue",,,,,,,,,,2023-11-01T10:38:05.08948+00:00
ZTVz0JjHdFQ,2023-11-01T10:09:46.27061+00:00,,,,Substitute “I love you”,,,,,,,,,,2023-11-01T10:09:46.27061+00:00
EUkC1AgpS7A,2023-11-03T01:16:18.604834+00:00,#thelongwalk, ,#hwéeldi,,,,,,,,,,,2023-11-03T01:16:18.604834+00:00
5b7fK0yw2bk,2023-11-06T17:45:24.08505+00:00,,,,Spirit Rise Up,,,,,,,,,,2023-11-06T17:45:24.08505+00:00
y3C4PsJW1Jc,2023-11-21T03:37:53.324099+00:00,,,,"The Long Walk: Simple Truth, Rocco & Emily",,,,,,,,,,2023-11-21T03:37:53.324099+00:00
xm61lcBL9GA,2023-12-03T13:10:39.674051+00:00,,,,Pajarita: Janice Manjeet Amrita Bisset,,,,,,,,,,2023-12-03T13:10:39.674051+00:00
SBMeGG3odR8,2023-12-04T15:48:16.624634+00:00,,,,Portales | Porches| An Open Letter to: the “other” | Simple Truth | Pajarita | TransRationalBlues,,,,,,,,,,2023-12-04T15:48:16.624634+00:00
vgqsJAmTpCs,2023-12-06T17:09:02.829893+00:00,,,,"MAYA Marketing, Wetiko Spirit, & Writers",,,,,,,,,,2023-12-06T17:09:02.829893+00:00
GskWoUCJm68,2023-12-06T16:58:31.901127+00:00,,,,WorkSong = Distance x Newton,,,,,,,,,,2023-12-06T16:58:31.901127+00:00
gcg23gOeNM0,2023-12-06T20:53:18.589252+00:00,,,,Streets of Portales,,,,,,,,,,2023-12-06T20:53:18.589252+00:00
37Einj8lAS0,2023-12-06T20:56:44.543132+00:00,,,,Hardly no Skin on my Bones,,,,,,,,,,2023-12-06T20:56:44.543132+00:00
JbVxO3_aD8Y,2023-12-06T21:00:45.342516+00:00,,,,"Portales, NM",,,,,,,,,,2023-12-06T21:00:45.342516+00:00
FO418Fd3_0g,2023-12-06T21:03:42.630564+00:00,,,,WorkSong = Distance x Newton,,,,,,,,,,2023-12-06T21:03:42.630564+00:00
wEltUs7pXsY,2023-12-06T21:06:44.33975+00:00,,,,My Hate Speech,,,,,,,,,,2023-12-06T21:06:44.33975+00:00
JKWGR_V-f4Q,2023-12-06T21:09:39.643959+00:00,,,,Beyond Colonization,,,,,,,,,,2023-12-06T21:09:39.643959+00:00
25PiFWbT8E4,2023-12-06T21:13:48.706341+00:00,,,,Approval Within,,,,,,,,,,2023-12-06T21:13:48.706341+00:00
qtkvpevIKHw,2023-12-06T22:28:34.268534+00:00,,,,Transformative Myth,,,,,,,,,,2023-12-06T22:28:34.268534+00:00
pypcW5bpwWo,2023-12-07T17:10:39.526788+00:00,,,,History of Myth,,,,,,,,,,2023-12-07T17:10:39.526788+00:00
s2lfXDQJ65k,2023-12-13T11:00:40.049406+00:00,,,,Discursive Cursive,,,,,,,,,,2023-12-13T11:48:53.885474+00:00
k8rWJ6Qis4Y,2023-12-13T12:17:28.217095+00:00,,,,Hwéeldi: Place of Suffering,,,,,,,,,,2023-12-13T12:17:28.217095+00:00
cJjgzzGsDI4,2023-12-19T15:11:40.763178+00:00,,,,Intelligence,,,,,,,,,,2023-12-19T15:11:40.763178+00:00
rOMnVxo681s,2023-12-19T21:37:54.995353+00:00,,,,One Man’s Cry,,,,,,,,,,2023-12-19T21:37:54.995353+00:00
MoGLtzEIlo0,2023-12-19T21:50:57.241074+00:00,,,,Takin’ It Back,,,,,,,,,,2023-12-19T21:50:57.241074+00:00
eH-U2LFtSGM,2023-12-20T18:05:09.160467+00:00,,,,We Rollin’,,,,,,,,,,2023-12-20T18:05:09.160467+00:00
1uB-RS0F68g,2023-12-21T18:47:14.089921+00:00,,,,Empire Christianity: Manifest Destiny,,,,,,,,,,2023-12-21T18:47:14.089921+00:00
3yLsDqyPkbk,2023-12-22T17:17:46.883323+00:00,,,,Reluctant White Devil,,,,,,,,,,2023-12-22T17:17:46.883323+00:00
sZc44WqhCuo,2023-12-22T17:23:09.596295+00:00,,,,My Hair,,,,,,,,,,2023-12-22T17:23:09.596295+00:00
8ZSpfS80LX4,2023-12-22T17:25:13.575805+00:00,,,,Centralized Government,,,,,,,,,,2023-12-22T17:25:13.575805+00:00
k1SNX_OyMIs,2023-12-22T17:28:26.33012+00:00,,,,"Epigenetic Trauma, Generational Curses, Attachmment",,,,,,,,,,2023-12-22T17:28:26.33012+00:00
FwXrkPew8jw,2023-12-22T17:29:51.683913+00:00,,,,"Initiation Ceremony, Rights of Passage, Taking Responsibility",,,,,,,,,,2023-12-22T17:29:51.683913+00:00
x4Ut8z4rrsc,2023-12-22T17:32:26.675692+00:00,,,,Archetypal Authority Figures,,,,,,,,,,2023-12-22T17:32:26.675692+00:00
ALl0lMKViEc,2023-12-22T17:34:36.97558+00:00,,,,Alternate Housing,,,,,,,,,,2023-12-22T17:34:36.97558+00:00
OyqIlEjwLwQ,2023-12-22T17:37:05.69343+00:00,,,,Attachment,,,,,,,,,,2023-12-22T17:37:05.69343+00:00
WJcWhoHmHy8,2023-12-22T17:54:59.072451+00:00,,,,Big Head Todd: Bittersweet,,,,,,,,,,2023-12-22T17:54:59.072451+00:00
8-lHnL35OH0,2023-12-22T19:46:42.676854+00:00,,,,Encouragers,,,,,,,,,,2023-12-22T19:46:42.676854+00:00
NT2Q28jLWJ4,2023-12-23T15:41:27.353697+00:00,,,,TravelinStringCamp,,,,,,,,,,2023-12-23T15:41:27.353697+00:00
jwBlg-_ymzc,2023-12-26T12:47:40.520418+00:00,,,,Slave Boy: Part 2,,,,,,,,,,2023-12-26T12:47:40.520418+00:00
59xeI1dTEXk,2023-12-26T12:49:05.1335+00:00,,,,Slave Boy: Part 3,,,,,,,,,,2023-12-26T12:49:05.1335+00:00
ENwDqJO2Zc4,2023-12-26T12:50:16.82307+00:00,,,,Slave Boy: Part 4,,,,,,,,,,2023-12-26T12:50:16.82307+00:00
T8lNINtSsGw,2023-12-26T12:52:22.376119+00:00,,,,Slave Boy: Part 5,,,,,,,,,,2023-12-26T12:52:22.376119+00:00
UdCNH_JlTzU,2023-12-26T12:53:32.929336+00:00,,,,Slave Boy: Part 6,,,,,,,,,,2023-12-26T12:53:32.929336+00:00
sNji51YV_zo,2023-12-26T12:56:36.595056+00:00,,,,Wetiko Spirit ,#thelongwalk, ,#Hwéeldi,,,,,,,2023-12-26T12:56:36.595056+00:00
X-9opwPiOWk,2023-12-26T12:58:06.406528+00:00,,,,Catharsis,,,,,,,,,,2023-12-26T12:58:06.406528+00:00
0mzYWtkBFfc,2023-12-28T20:50:10.393426+00:00,,,,Honoring Ancestors,,,,,,,,,,2023-12-28T20:50:10.393426+00:00
gMDcNXOGfCk,2023-12-28T20:52:22.144299+00:00,,,,Simple Truth,,,,,,,,,,2023-12-28T20:52:22.144299+00:00
wrgdSkb_Wk8,2023-12-28T20:54:04.971488+00:00,,,,Catharsis Facilitation,,,,,,,,,,2023-12-28T20:54:04.971488+00:00
EcV_PcZtsRY,2023-12-28T20:55:11.801703+00:00,,,,Vonnegut Catharsis,,,,,,,,,,2023-12-28T20:55:11.801703+00:00
F74wfP1neog,2023-12-28T20:57:22.421611+00:00,,,,Reformers,,,,,,,,,,2023-12-28T20:57:22.421611+00:00
zWX-uDUoLQk,2023-12-28T21:00:41.19308+00:00,,,,Voyager Carl Sagan,,,,,,,,,,2023-12-28T21:00:41.19308+00:00
JQev_K9o9Oc,2023-12-28T21:02:19.2555+00:00,,,,Freedom From “me”,,,,,,,,,,2023-12-28T21:02:19.2555+00:00
o-AkrJxV3QU,2023-12-28T21:05:24.775172+00:00,,,,Rosemary,,,,,,,,,,2023-12-28T21:05:24.775172+00:00
FgKjMnpynGE,2023-12-28T21:07:39.172864+00:00,,,,Self Hate,,,,,,,,,,2023-12-28T21:07:39.172864+00:00
CpZloz_wV4o,2023-12-28T21:11:29.313076+00:00,,,,"HateMail, Hecklers, LeftHooks",,,,,,,,,,2023-12-28T21:11:29.313076+00:00
0glrErqdhtU,2023-12-28T21:13:12.578163+00:00,,,,"HateMail, Hecklers, & Love For Audience",,,,,,,,,,2023-12-28T21:13:12.578163+00:00
J9oc-zYeoC8,2023-12-28T21:14:32.003684+00:00,,,,"HateMail, Hecklers, & Love For Audience",,,,,,,,,,2023-12-28T21:14:32.003684+00:00
SrE2PpVm_6M,2023-12-28T21:17:13.744144+00:00,,,,"HateMail, Hecklers, & The Lazy Marxist",,,,,,,,,,2023-12-28T21:17:13.744144+00:00
gQGUvUlaOcI,2023-12-28T21:18:27.883534+00:00,,,,"HateMail, Hecklers, and Love of Audience",,,,,,,,,,2023-12-28T21:18:27.883534+00:00
lj7BwOP5t9s,2023-12-28T21:19:53.312161+00:00,,,,I see myself in you,,,,,,,,,,2023-12-28T21:19:53.312161+00:00
T6mTzP4xjPc,2023-12-30T22:58:15.189657+00:00,,,,Hurting? Self-Compassion,,,,,,,,,,2023-12-30T22:58:15.189657+00:00
ptE8qcM7oBw,2023-12-30T23:35:55.12281+00:00,,,,Catharsis,,,,,,,,,,2023-12-30T23:35:55.12281+00:00
7Jg14fyq6zY,2023-12-31T20:15:05.433478+00:00,,,,Gibson L-5 Wes Montgomery,,,,,,,,,,2023-12-31T20:15:05.433478+00:00





