Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Description Text Segments 10,Video Description Text Segments 11,Video Description Text Segments 12,Video Description Text Segments 13,Video Description Text Segments 14,Video Description Text Segments 15,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Text Update Timestamp
vFq911oEDc4,2024-01-02T23:00:31.885675+00:00,,,,,,,,,,,,,,,,Tolkien Secondary Worlds,,,,,,,,2024-01-02T23:00:31.885675+00:00
ta7dfCJjV2Y,2024-01-02T23:01:44.531773+00:00,,,,,,,,,,,,,,,,Archetypal Faces,,,,,,,,2024-01-02T23:01:44.531773+00:00
JfnW12fvUes,2024-01-02T23:02:33.867212+00:00,,,,,,,,,,,,,,,,"Archetypal Faces, Archetypal Journeys",,,,,,,,2024-01-02T23:02:33.867212+00:00
Z85UJsqOSTI,2024-01-02T23:03:37.114971+00:00,,,,,,,,,,,,,,,,Archetypal Storytelling,,,,,,,,2024-01-02T23:03:37.114971+00:00
_Zo9qxYT_hE,2024-01-02T23:05:03.024354+00:00,,,,,,,,,,,,,,,,Quantum Computing,,,,,,,,2024-01-02T23:05:03.024354+00:00
tmCMCtSDfPU,2024-01-02T23:06:19.866908+00:00,,,,,,,,,,,,,,,,Star Trek Next Generation Music,,,,,,,,2024-01-02T23:06:19.866908+00:00
Jfe2LZRJUgQ,2024-01-02T23:07:09.319429+00:00,,,,,,,,,,,,,,,,Cyborg Singer!,,,,,,,,2024-01-02T23:07:09.319429+00:00
WF3O35DNMrc,2024-01-03T13:25:41.825092+00:00,,,,,,,,,,,,,,,,"Eli, Singing Cyborg, & MeowNir",,,,,,,,2024-01-03T16:33:45.229672+00:00
drMCGRQUt4U,2024-01-06T02:43:57.257622+00:00,,,,,,,,,,,,,,,,Singing Cyborg Worship Music & Healings,,,,,,,,2024-01-06T02:43:57.257622+00:00
WzeAPlz5lr0,2024-01-06T02:30:33.711447+00:00,,,,,,,,,,,,,,,,"Musical Life, Identity, Simple Truth, Conservatives, Liberals, Box Canyon, Martian Resurrection",,,,,,,,2024-01-06T02:30:33.711447+00:00
8Nrw-FjCdx4,2024-01-10T22:17:42.501204+00:00,,,,,,,,,,,,,,,,Loop Pedal ,#loopstation, ,#guitarlesson,,,,,2024-01-10T22:17:42.501204+00:00
_mdY3rrsByk,2024-01-10T22:19:19.575905+00:00,,,,,,,,,,,,,,,,Self-Healing,,,,,,,,2024-01-10T22:19:19.575905+00:00
oadlj-PF-vw,2024-01-11T15:35:27.419645+00:00,,,,,,,,,,,,,,,,"Feeling Big, Feeling Small",,,,,,,,2024-01-11T15:35:27.419645+00:00
iQ65Qa8AU_Q,2024-01-15T14:28:10.903115+00:00,,,,,,,,,,,,,,,,We Pray For Our Enemies,,,,,,,,2024-01-15T14:28:10.903115+00:00
GhtLk0Bzw34,2024-01-16T13:40:33.687912+00:00,"https://ko-fi.com/s/a3585c6a73

",#mile0fest,", ",#keywest,", ",#woodyguthrie,", ",#musichistory,", ",#godhood,", ",#imagination,,,,,,,,,,,,2024-01-16T13:52:34.124973+00:00
 -RW4M-jqs7w,2024-01-16T15:03:27.923942+00:00,,,,,,,,,,,,,,,,Imagination Godhood,,,,,,,,2024-01-16T15:03:27.923942+00:00
xqeM7kxWcCs,2024-01-16T15:13:34.681875+00:00,,,,,,,,,,,,,,,,Imagination Godhood,,,,,,,,2024-01-16T15:13:34.681875+00:00
oOHhRD81pkQ,2024-01-17T15:44:27.771587+00:00,"https://ko-fi.com/s/a3585c6a73 

",#suicideawareness,", ",#warishell,", ",#giantsteps,", ",#petsounds,", ",#mile0fest,", ",#brothers,", ",#simulation,"

https://ko-fi.com/s/a3585c6a73",Giant Pets & Brother Jack: Rucker Brothers Music Download,,,,,,,,2024-01-18T12:36:50.610038+00:00
erkVxqHHyMk,2024-01-18T13:14:49.992098+00:00,,,,,,,,,,,,,,,,Thanks to Supporters and non-supporters alike,,,,,,,,2024-01-18T13:14:49.992098+00:00
 -FP_Di1oezY,2024-01-22T13:11:19.719693+00:00,"https://ko-fi.com/s/a3585c6a73 

",#helping,", ",#brothers,", ",#connection,", ",#acceptance,,,,,,,,,,,,,,,,2024-01-22T13:11:19.719693+00:00
eP3YpiccHxw,2024-01-21T18:32:41.86559+00:00,,,,,,,,,,,,,,,,Trav the Encourager!,,,,,,,,2024-01-21T18:32:41.86559+00:00
c9DWRC_n9wA,2024-01-21T18:36:08.410262+00:00,,,,,,,,,,,,,,,,Who is TravelinTrav?,,,,,,,,2024-01-21T18:36:08.410262+00:00
PZskwJsK-YM,2024-01-21T18:37:45.723149+00:00,,,,,,,,,,,,,,,,Who is TravelinTrav?,,,,,,,,2024-01-21T18:37:45.723149+00:00
54T-ADMnrwk,2024-01-21T18:40:05.178313+00:00,,,,,,,,,,,,,,,,TubeAmp/GuitarCase Combo ,#music, ,#guitargear, ,#guitarlesson,,,2024-01-21T18:40:05.178313+00:00
lbPS3huEuA0,2024-01-21T18:42:08.909612+00:00,,,,,,,,,,,,,,,,"January 21, 2024",,,,,,,,2024-01-21T18:42:08.909612+00:00
RL5QLm53RbY,2024-01-22T11:49:37.306423+00:00,,,,,,,,,,,,,,,,Fear Is An Illusion,,,,,,,,2024-01-22T11:49:37.306423+00:00
In7dipXYqWA,2024-01-22T11:51:24.317558+00:00,,,,,,,,,,,,,,,,Friendship Is Medicine,,,,,,,,2024-01-22T11:51:24.317558+00:00
_AK4-k5WPH4,2024-01-22T11:53:40.247949+00:00,,,,,,,,,,,,,,,,Friendship Stories,,,,,,,,2024-01-22T11:53:40.247949+00:00
FfKhVAAFf6Q,2024-01-22T11:57:19.155771+00:00,,,,,,,,,,,,,,,,Brothers Helping Brothers,,,,,,,,2024-01-22T11:57:19.155771+00:00
dKrH_L0I14c,2024-01-22T11:58:58.005446+00:00,,,,,,,,,,,,,,,,Brother Invitations,,,,,,,,2024-01-22T11:58:58.005446+00:00
TbUoHFsZjOo,2024-01-22T12:00:24.87524+00:00,,,,,,,,,,,,,,,,Pawn Shop Finds,,,,,,,,2024-01-22T12:00:24.87524+00:00
U55qspUrzXo,2024-01-22T12:47:11.959782+00:00,,,,,,,,,,,,,,,,Adobe Aero,,,,,,,,2024-01-22T12:47:11.959782+00:00
zQAwdkjTQeQ,2024-01-22T12:52:55.558714+00:00,,,,,,,,,,,,,,,,Wild Fiddle Man,,,,,,,,2024-01-22T12:52:55.558714+00:00
VN38BVg9DeU,2024-01-22T12:55:40.920843+00:00,,,,,,,,,,,,,,,,Generational Trauma,,,,,,,,2024-01-22T12:55:40.920843+00:00
eI45gMmgcpI,2024-01-22T12:57:19.234756+00:00,,,,,,,,,,,,,,,,Bread That’s Beyond,,,,,,,,2024-01-22T12:57:19.234756+00:00
GD0BqTgJTjY,2024-01-22T12:59:02.777208+00:00,,,,,,,,,,,,,,,,We Have the Power,,,,,,,,2024-01-22T12:59:02.777208+00:00
nmJ1e81NYvo,2024-01-22T13:00:38.152178+00:00,,,,,,,,,,,,,,,,Tyger: William Blake,,,,,,,,2024-01-22T13:00:38.152178+00:00
UEIJU22tEn8,2024-01-22T13:02:21.175401+00:00,,,,,,,,,,,,,,,,Generational Abuse,,,,,,,,2024-01-22T13:02:21.175401+00:00
qvY5ePx_e8Y,2024-01-22T13:05:07.446613+00:00,,,,,,,,,,,,,,,,Great Awakening,,,,,,,,2024-01-22T13:05:07.446613+00:00
Pf8dAXuHsyg,2024-01-22T14:00:14.086097+00:00,,,,,,,,,,,,,,,,TravelinStringCamp!,,,,,,,,2024-01-22T14:00:14.086097+00:00
umwrl2lmcEE,2024-01-22T14:02:31.984714+00:00,,,,,,,,,,,,,,,,Creative Practice Techniques ,#music, ,#jazz, ,#guitarlessons,,,2024-01-22T14:02:31.984714+00:00
l-hrxshH6-M,2024-01-22T14:05:23.098094+00:00,,,,,,,,,,,,,,,,Creative Practice Facilitates Catharsis ,#music, ,#musiclesson, ,#guitarlesson, ,#helping,2024-01-22T14:05:23.098094+00:00
kpda7mcP604,2024-01-22T15:05:27.337238+00:00,,,,,,,,,,,,,,,,Oklahoma Ice Storm!,,,,,,,,2024-01-22T15:05:27.337238+00:00
j2D8wgK5xjs,2024-01-22T21:42:49.487538+00:00,,,,,,,,,,,,,,,,“…I will give you rest.”,,,,,,,,2024-01-22T21:42:49.487538+00:00
6JkvqknU1gY,2024-02-19T15:58:45.064881+00:00,"Free music download

Rucker Brothers Music Download
https://youtu.be/GhtLk0Bzw34",,,,,,,,,,,,,,,,,,,,,,,2024-02-19T15:58:45.064881+00:00
Rk7oOXRmnjQ,2024-02-19T15:31:24.311225+00:00,"Free music download from Trav 

https://ko-fi.com/s/a3585c6a73",,,,,,,,,,,,,,,,,,,,,,,2024-02-19T15:59:59.127803+00:00
9pyAZF1X5_8,2024-02-19T15:59:11.371877+00:00,"Free music download from Trav

Rucker Brothers Music Download
https://youtu.be/GhtLk0Bzw34",,,,,,,,,,,,,,,,,,,,,,,2024-02-19T15:59:11.371877+00:00
z7d6CVZDiaQ,2024-02-16T20:35:05.812305+00:00,https://ko-fi.com/s/a3585c6a73,,,,,,,,,,,,,,,,,,,,,,,2024-02-16T20:35:05.812305+00:00
4BkQFIuirkI,2024-02-19T15:59:37.813433+00:00,"Free music download from Trav

Rucker Brothers Music Download
https://youtu.be/GhtLk0Bzw34",,,,,,,,,,,,,,,,,,,,,,,2024-02-19T15:59:37.813433+00:00
aueD0zlOJ_A,2024-02-17T03:07:48.197874+00:00,,,,,,,,,,,,,,,,Authority Issues,,,,,,,,2024-02-17T03:07:48.197874+00:00
z3XJFRdtu0M,2024-02-17T05:37:47.459108+00:00,,,,,,,,,,,,,,,,"Freedom of Speech, Thank G-d",,,,,,,,2024-02-17T05:37:47.459108+00:00
bpudt18lgZE,2024-02-17T05:45:22.760616+00:00,,,,,,,,,,,,,,,,Timely Reminder,,,,,,,,2024-02-17T05:45:22.760616+00:00
7vJJA31FXbU,2024-02-17T05:49:54.699697+00:00,,,,,,,,,,,,,,,,Who Do I Think I Am?,,,,,,,,2024-02-17T05:49:54.699697+00:00
5oDx8KA5u50,2024-02-17T05:54:10.087371+00:00,,,,,,,,,,,,,,,,15 Seconds,,,,,,,,2024-02-17T05:54:10.087371+00:00
7mHsHWsIe28,2024-02-17T05:57:23.911158+00:00,,,,,,,,,,,,,,,,Compassionate Intelligence,,,,,,,,2024-02-17T05:57:23.911158+00:00
hG5uiHCmBzw,2024-02-17T06:16:24.82233+00:00,,,,,,,,,,,,,,,,"Yes, It’s Winter",,,,,,,,2024-02-17T06:16:24.82233+00:00
JCod_H2QlkE,2024-02-17T06:28:59.721827+00:00,,,,,,,,,,,,,,,,"Live Like Father, Die Like Brother",,,,,,,,2024-02-17T06:28:59.721827+00:00
SBOZ7iNpiqI,2024-02-17T06:48:38.784854+00:00,,,,,,,,,,,,,,,,Sense of Humoring,,,,,,,,2024-02-17T06:48:38.784854+00:00
GFnlvFvmvI4,2024-02-17T08:40:04.311604+00:00,,,,,,,,,,,,,,,,True Content: Love of Audience,,,,,,,,2024-02-17T08:40:04.311604+00:00
NaiM1fARlBY,2024-02-17T09:05:12.381783+00:00,,,,,,,,,,,,,,,,Neurochemical Isolation,,,,,,,,2024-02-17T09:05:12.381783+00:00
wAlDFGOQdEM,2024-02-19T22:43:16.753293+00:00,,,,,,,,,,,,,,,,Pulse of the People,,,,,,,,2024-02-19T22:43:16.753293+00:00
f9r47n_hJ2A,2024-02-20T11:53:34.762313+00:00,,,,,,,,,,,,,,,,My People?,,,,,,,,2024-02-20T11:53:34.762313+00:00
fXJ-EZvBPoY,2024-02-20T12:15:04.296782+00:00,,,,,,,,,,,,,,,,I Am Gifted,,,,,,,,2024-02-20T12:15:04.296782+00:00
bheC15qjGoE,2024-02-26T00:29:11.60573+00:00,,,,,,,,,,,,,,,,Is There A Crisis?,,,,,,,,2024-02-26T00:29:11.60573+00:00
2VOFHH8jEZ0,2024-02-20T19:09:19.962293+00:00,,,,,,,,,,,,,,,,Any Practice Will Do,,,,,,,,2024-02-20T19:09:19.962293+00:00
ZfxzOfGsAEQ,2024-02-21T13:40:01.501816+00:00,,,,,,,,,,,,,,,,Unsubscribers!,,,,,,,,2024-02-21T13:40:01.501816+00:00
38nX1zA_aeE,2024-02-26T00:29:48.767829+00:00,,,,,,,,,,,,,,,,An Open Letter to “the other”,,,,,,,,2024-02-26T00:29:48.767829+00:00
6GuIzByNcpA,2024-02-21T16:24:53.891448+00:00,,,,,,,,,,,,,,,,What I Believe,,,,,,,,2024-02-21T16:24:53.891448+00:00
uedjQaUYM-w,2024-02-21T16:55:54.127111+00:00,,,,,,,,,,,,,,,,Bone Flute Technology,,,,,,,,2024-02-21T16:55:54.127111+00:00
jCW8Li_2gVI,2024-02-22T15:51:22.17211+00:00,,,,,,,,,,,,,,,,Us & Them,,,,,,,,2024-02-22T15:51:22.17211+00:00
uXqDgd61l0M,2024-02-27T17:36:53.002925+00:00,,,,,,,,,,,,,,,,Was G-d Born to Wrestle With S-ience?,,,,,,,,2024-02-27T17:36:53.002925+00:00
d_ThaSCmStA,2024-03-01T15:17:51.552395+00:00,,,,,,,,,,,,,,,,"Simple Truth, Ron Shipp, Land of Enchantment",,,,,,,,2024-03-01T15:17:51.552395+00:00
qHWrCFW86GY,2024-03-07T15:12:33.619815+00:00,,,,,,,,,,,,,,,,Pee Wee’s Liberation,,,,,,,,2024-03-07T15:12:33.619815+00:00
zrv-OL31940,2024-03-31T15:56:35.3739+00:00,,,,,,,,,,,,,,,,He is Risen!,,,,,,,,2024-03-31T15:56:35.3739+00:00
h81LDkGg6aY,2024-03-31T19:58:56.898562+00:00,,,,,,,,,,,,,,,,Every Open Door,,,,,,,,2024-03-31T19:58:56.898562+00:00
HjCDglU8O30,2024-04-02T18:18:47.198776+00:00,,,,,,,,,,,,,,,,"Conservatives, Liberals, & Pyramid Schemes",,,,,,,,2024-04-02T18:18:47.198776+00:00
KBlM9h2IKI4,2024-04-17T00:57:48.540373+00:00,,,,,,,,,,,,,,,,When the River Rise,,,,,,,,2024-04-17T00:57:48.540373+00:00
lcVxY9Kjk8s,2024-04-19T05:37:48.71541+00:00,,,,,,,,,,,,,,,,Giant Steps,,,,,,,,2024-04-19T05:37:48.71541+00:00
rdEfNxG-TTY,2024-04-19T05:47:57.138942+00:00,,,,,,,,,,,,,,,,Crisis?,,,,,,,,2024-04-19T05:47:57.138942+00:00
2GaZP2jWr7o,2024-04-19T05:52:22.456277+00:00,,,,,,,,,,,,,,,,TransRationalBlues,,,,,,,,2024-04-19T05:52:22.456277+00:00
3qDsLK7i8bI,2024-04-19T05:54:27.165048+00:00,,,,,,,,,,,,,,,,T for Trav,,,,,,,,2024-04-19T05:54:27.165048+00:00
YonfC3xcSQc,2024-04-19T05:59:18.394137+00:00,,,,,,,,,,,,,,,,L&tEoW,,,,,,,,2024-04-19T05:59:18.394137+00:00
p0xyOk2vpYQ,2024-04-19T06:01:56.955911+00:00,,,,,,,,,,,,,,,,Auditions,,,,,,,,2024-04-19T06:01:56.955911+00:00
dHmbdQShnfw,2024-04-19T06:06:57.324866+00:00,,,,,,,,,,,,,,,,An Open Letter To An Ex Wife,,,,,,,,2024-04-19T06:06:57.324866+00:00
xPREUZKWDOU,2024-04-19T06:09:31.706571+00:00,,,,,,,,,,,,,,,,Surrendering Toxic Masculinity,,,,,,,,2024-04-19T06:09:31.706571+00:00
USy9M5I2eCs,2024-04-19T06:11:44.151099+00:00,,,,,,,,,,,,,,,,Cautionary Tales,,,,,,,,2024-04-19T06:11:44.151099+00:00
QFYfZ_u1XeI,2024-04-19T06:12:38.058148+00:00,,,,,,,,,,,,,,,,White Male,,,,,,,,2024-04-19T06:12:38.058148+00:00
zCy_-66wARU,2024-04-19T06:13:55.057632+00:00,,,,,,,,,,,,,,,,An Open Letter to An Ex Wife,,,,,,,,2024-04-19T06:13:55.057632+00:00
9KIAkL0l7dY,2024-04-19T16:26:51.614754+00:00,,,,,,,,,,,,,,,,Free Music Download,,,,,,,,2024-04-19T16:26:51.614754+00:00
jxDLyw6iqoM,2024-04-19T16:30:47.33679+00:00,,,,,,,,,,,,,,,,Brother Jack,,,,,,,,2024-04-19T16:30:47.33679+00:00
-4dGrSPXaSM,2024-04-19T16:32:40.074562+00:00,,,,,,,,,,,,,,,,Generational Healing,,,,,,,,2024-04-19T16:32:40.074562+00:00
yvNwJpvQVqo,2024-04-19T16:34:32.296302+00:00,,,,,,,,,,,,,,,,Suicide Prevention,,,,,,,,2024-04-19T16:34:32.296302+00:00
yXpvcdt8UVo,2024-04-19T16:36:15.308085+00:00,,,,,,,,,,,,,,,,Overcoming Victimization,,,,,,,,2024-04-19T16:36:15.308085+00:00
qN7Ut8KCyMg,2024-04-19T16:38:04.624498+00:00,,,,,,,,,,,,,,,,Spirit Rise,,,,,,,,2024-04-19T16:38:04.624498+00:00
F_ptrwrPGUE,2024-04-19T16:40:51.225037+00:00,,,,,,,,,,,,,,,,Archetypal Stories,,,,,,,,2024-04-19T16:40:51.225037+00:00
jsYlGTAl7zk,2024-04-19T16:43:53.143541+00:00,,,,,,,,,,,,,,,,Brothers,,,,,,,,2024-04-19T16:43:53.143541+00:00
vLMBoJExrd0,2024-04-21T21:54:31.261205+00:00,,,,,,,,,,,,,,,,Normalizing Atheism,,,,,,,,2024-04-21T21:54:31.261205+00:00
jUs30b9bRik,2024-04-20T19:32:56.214584+00:00,,,,,,,,,,,,,,,,Real Open = Real Strength,,,,,,,,2024-04-20T19:32:56.214584+00:00
FdzU0ZPREtA,2024-04-21T21:55:53.231981+00:00,,,,,,,,,,,,,,,,Free Music Download,,,,,,,,2024-04-21T21:55:53.231981+00:00
IFCZIpr99ik,2024-04-21T14:07:37.450577+00:00,,,,,,,,,,,,,,,,Free Music Download,,,,,,,,2024-04-21T14:07:37.450577+00:00
gexEqRiS5AA,2024-04-21T22:20:32.359986+00:00,,,,,,,,,,,,,,,,"Atheism, Little Richard Dawkins, MythMonkeys",,,,,,,,2024-04-21T22:20:32.359986+00:00
Hx-sJ-pW9LM,2024-04-21T22:22:09.777912+00:00,,,,,,,,,,,,,,,,Normalizing Atheism,,,,,,,,2024-04-21T22:22:09.777912+00:00
CTLipmyoj08,2024-04-21T22:23:03.70351+00:00,,,,,,,,,,,,,,,,TraumaTelling,,,,,,,,2024-04-21T22:23:03.70351+00:00
gUFe3oq38mQ,2024-04-21T22:25:30.900403+00:00,,,,,,,,,,,,,,,,Odyssey,,,,,,,,2024-04-21T22:25:30.900403+00:00
nFSwTLNg9Es,2024-04-22T17:34:19.080557+00:00,,,,,,,,,,,,,,,,TravelinStringCamp,,,,,,,,2024-04-22T17:34:19.080557+00:00
WCkRDIDsAzg,2024-04-23T22:54:55.579291+00:00,,,,,,,,,,,,,,,,"Cat’s Flowers, Claire’sCamera, & Common Stories",,,,,,,,2024-04-23T22:54:55.579291+00:00
6SooAf7KsRs,2024-04-23T21:18:23.326276+00:00,,,,,,,,,,,,,,,,Cat’s Flowers,,,,,,,,2024-04-23T21:18:23.326276+00:00
jQpqHj3KY38,2024-04-23T21:19:53.15045+00:00,,,,,,,,,,,,,,,,"Picasso, Perspective, & Psychic Symbols",,,,,,,,2024-04-23T21:19:53.15045+00:00
4k-ey4tRzqE,2024-04-23T21:21:26.009796+00:00,,,,,,,,,,,,,,,,Perspective,,,,,,,,2024-04-23T21:21:26.009796+00:00
iyjacCoKB94,2024-04-23T21:22:00.581085+00:00,,,,,,,,,,,,,,,,Aboriginal Art,,,,,,,,2024-04-23T21:22:00.581085+00:00
b8YShpdH850,2024-04-24T19:14:23.456937+00:00,,,,,,,,,,,,,,,,TravelinTrav,,,,,,,,2024-04-24T19:14:23.456937+00:00
kXvGChpXzfI,2024-04-24T19:16:50.980692+00:00,,,,,,,,,,,,,,,,"Amps, Pedals, & Axes",,,,,,,,2024-04-24T19:16:50.980692+00:00
dtsYKRddcrA,2024-04-25T02:45:34.412369+00:00,,,,,,,,,,,,,,,,TravelinStringCamp,,,,,,,,2024-04-25T02:45:34.412369+00:00
vk4rpf6iAgo,2024-04-25T11:42:49.501246+00:00,,,,,,,,,,,,,,,,Tube Amps Are King,,,,,,,,2024-04-25T11:42:49.501246+00:00
2QQIdqbSNwk,2024-04-25T12:22:00.100394+00:00,,,,,,,,,,,,,,,,Ludlow Massacre,,,,,,,,2024-04-25T12:22:00.100394+00:00
vLEfHemv_CM,2024-04-25T16:57:46.885026+00:00,,,,,,,,,,,,,,,,TravelinStringCamp: Claire,,,,,,,,2024-04-25T16:59:24.043676+00:00
3jWZ9SNfuCA,2024-04-26T18:44:22.200205+00:00,,,,,,,,,,,,,,,,Worth Fighting For,,,,,,,,2024-04-26T18:44:22.200205+00:00
cujunbg4Nt4,2024-04-28T00:01:43.289118+00:00,,,,,,,,,,,,,,,,Thoreau,,,,,,,,2024-04-28T00:01:43.289118+00:00
qsGH1jxcajM,2024-05-08T21:18:20.274053+00:00,,,,,,,,,,,,,,,,TransRationalBlues: Photosynthesis & The Union of Mysticism and Science,,,,,,,,2024-05-08T21:18:20.274053+00:00
CtT-LqN_xK0,2024-04-28T05:10:09.130812+00:00,,,,,,,,,,,,,,,,TransRationalBlues,,,,,,,,2024-04-28T05:10:09.130812+00:00
7uP76m0kqJ8,2024-04-28T13:58:36.640261+00:00,,,,,,,,,,,,,,,,TransRationalBlues,,,,,,,,2024-04-28T13:58:36.640261+00:00
moUduAaDfaE,2024-04-28T14:03:14.298745+00:00,,,,,,,,,,,,,,,,TravelinTrav,,,,,,,,2024-04-28T14:03:14.298745+00:00
a4Yi-dP_JNk,2024-05-01T15:32:56.190214+00:00,,,,,,,,,,,,,,,,TravelinStringCamp,,,,,,,,2024-05-01T15:32:56.190214+00:00





