Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Title Text Segments 1,Video Title Text Segments 2,Video Text Update Timestamp
jZHUaQxc3N0,2023-04-09T13:57:21.039873+00:00,,,Blues Scale 4 finger exercise,,2023-08-10T16:52:39.530589+00:00
ctS6jYaTKoc,2023-04-09T15:30:31.452949+00:00,,,Get Back Up: a message for you,,2023-08-11T07:50:35.590428+00:00
OdQMC8eGo6M,2023-04-26T09:17:57.981155+00:00,,,Building Historical Context,,2023-08-11T16:36:03.584938+00:00
ib4zB4yhNX4,2023-04-26T09:45:54.813831+00:00,,,Empty People-Pleasing,,2023-08-10T04:07:23.807548+00:00
Lx8TRRYbO2c,2023-04-26T10:14:37.588601+00:00,,,Manning Up,,2023-08-10T01:51:45.192035+00:00
0bR1NG2Xddw,2023-04-26T10:17:11.926291+00:00,,,Manning Up,,2023-08-10T19:41:43.581963+00:00
yUiOCFhUh1E,2023-04-26T11:42:00.803948+00:00,"While in Santa Fe with Delbert Anderson I received a warm invitation into a musical prayer with these two brilliant women who call themselves Indigie Femme. Thanks also to the Institute of American Indian Arts for facilitating this prayer of peace between all the people with red blood.

Earlier that day I visited a historical site where the Spanish built a Church in the midst of a Pueblo Indian settlement. I was certainly ready for this communal prayer after a morning of reflection. 

May we rise up in power now against all that would oppress us. May we be guided by that one great Spirit of love, my friends.

Blessings blessings blessings!",,,,2023-08-09T22:20:31.644092+00:00
f_plIVtJAjY,2023-04-26T14:51:08.563594+00:00,,,Dig Deeper - A Message For You Today!,,2023-08-10T11:22:39.534786+00:00
64EpuI4-jqg,2023-05-02T11:38:33.638588+00:00,,,Rhythmic Tremolo (Flat Picking),,2023-08-09T17:38:33.79343+00:00
VYBoi4taq74,2023-05-02T11:42:06.052134+00:00,,,Floating Flat-Pick Meditation (Breathe),,2023-08-10T11:46:14.15562+00:00
mZ9inyMTmQk,2023-05-03T11:04:54.500386+00:00,,,Kyphosis Therapy,,2023-08-10T11:35:29.326517+00:00
oGc4xhQ6Nkk,2023-05-03T12:59:15.386432+00:00,,,The Light In You,,2023-08-10T02:57:23.194725+00:00
aq23CF8lUyc,2023-05-03T21:17:16.362564+00:00,,,Limitations of Form,,2023-08-11T12:29:10.684235+00:00
NHfDg7ucYfc,2023-05-03T22:29:59.25118+00:00,,,Turning Canonical Text - Holy Tomes,,2023-08-11T03:26:33.540521+00:00
fEWtKg3C3uM,2023-05-03T22:52:49.998849+00:00,,,Turning Canonical Text - Holy Tomes,,2023-08-09T21:57:58.268799+00:00
iJ5BorDNHs4,2023-05-05T10:04:40.340729+00:00,,,Row Row Row,,2023-08-11T00:37:04.137506+00:00
zFpSglwmdeI,2023-05-05T10:28:01.068349+00:00,,,Row Row Row,,2023-08-11T15:16:29.372805+00:00





