Video ID,Video Text Create Timestamp,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Text Update Timestamp
skbcKtfsdqw,2025-07-27T05:58:51.032641+00:00,"Blackfish, Great Intelligence, & Every Open Door",,,,,,,,,,2025-07-27T05:58:51.032641+00:00
55PcVY0vyTQ,2025-07-27T14:13:07.180961+00:00,Executive Order: Part 1,,,,,,,,,,2025-07-27T14:13:07.180961+00:00
x2UH7TFVgcw,2025-07-27T15:16:45.197063+00:00,Executive Order: Part 2,,,,,,,,,,2025-07-27T15:16:45.197063+00:00
bRy9uAvg2uU,2025-07-27T15:40:33.971889+00:00,Where Do We Go When the Rivers Rise?,,,,,,,,,,2025-07-27T15:40:33.971889+00:00
BkkeHYoaZgQ,2025-07-27T23:49:12.859187+00:00,Dying to self,,,,,,,,,,2025-07-27T23:49:12.859187+00:00
fKFMUqa2ZN4,2025-07-28T03:04:07.535462+00:00,TravelinTrav’s TravelinStringCamp,,,,,,,,,,2025-07-28T03:04:07.535462+00:00
cz4Va5w2fAU,2025-07-28T04:31:52.624106+00:00,TravelinTrav TransRationalBlues,,,,,,,,,,2025-07-28T04:31:52.624106+00:00
4IGXm4melq0,2025-07-28T13:19:27.956823+00:00,Psalm 116,,,,,,,,,,2025-07-28T13:19:27.956823+00:00
QpsiPY7w0D8,2025-07-29T04:22:39.67095+00:00,Psalm 118,,,,,,,,,,2025-07-29T04:22:39.67095+00:00
9LIsono9T_4,2025-07-29T04:43:57.061156+00:00,Psalm 118,,,,,,,,,,2025-07-29T04:43:57.061156+00:00
LOuMFzK_MwQ,2025-07-29T05:00:43.343434+00:00,Psalm 118,,,,,,,,,,2025-07-29T05:00:43.343434+00:00
tCF-MMj36-k,2025-08-03T06:34:24.455546+00:00,"Experience, Strength, & Hope",,,,,,,,,,2025-08-03T06:34:24.455546+00:00
KvU1Epoj6UM,2025-08-03T07:22:16.39437+00:00,Christian Zionism & Genocide,,,,,,,,,,2025-08-03T07:22:16.39437+00:00
OO2V3d70Rng,2025-08-03T14:35:51.383408+00:00,TransRational Blues,,,,,,,,,,2025-08-03T14:35:51.383408+00:00
ELGJWcmEaKY,2025-08-04T02:35:24.544795+00:00,Luke Erwinsky: Cast your nets on the other side,,,,,,,,,,2025-08-04T02:35:24.544795+00:00
n6ImMD7ettw,2025-08-05T21:31:15.790448+00:00,Bootless and Burned,,,,,,,,,,2025-08-05T21:31:15.790448+00:00
qf-pZGDkCrI,2025-08-05T22:13:07.404182+00:00,Musical Brothers,,,,,,,,,,2025-08-05T22:13:07.404182+00:00
kcciL8Sh13Y,2025-08-05T22:46:32.695+00:00,Pronoun Police? Non-Binary Teachings?,,,,,,,,,,2025-08-05T22:46:32.695+00:00
g8A_PFG0EtE,2025-08-05T23:00:43.102482+00:00,Ain’t Nobody Says It!,,,,,,,,,,2025-08-05T23:00:43.102482+00:00
60pXkGoGrjs,2025-08-05T23:49:13.54312+00:00,Non-Binary Tough Love,,,,,,,,,,2025-08-05T23:49:13.54312+00:00
ath6fp1n-Ow,2025-08-06T01:46:02.193566+00:00,Gitar in G,,,,,,,,,,2025-08-06T01:46:02.193566+00:00
JFbj7q_jRfM,2025-08-07T10:50:59.675412+00:00,Creative Intelligence & Intelligent Design,,,,,,,,,,2025-08-07T10:50:59.675412+00:00
4IRy-bazlUE,2025-08-07T11:24:50.596637+00:00,Vulnerability & Christhood,,,,,,,,,,2025-08-07T11:24:50.596637+00:00
8AanhL2XgLg,2025-08-07T12:35:02.821878+00:00,Freedom is what we all fear,,,,,,,,,,2025-08-07T12:35:02.821878+00:00
ZtH4NQUYfRA,2025-08-08T03:10:24.108504+00:00,Wetiko Spirit: I want more. I need more. I don’t have enough,,,,,,,,,,2025-08-08T03:10:24.108504+00:00
duwYvK7SDAE,2025-08-08T03:19:27.755533+00:00,Performing Artists,,,,,,,,,,2025-08-08T03:19:27.755533+00:00
qD0MYXYYVVg,2025-08-08T17:43:19.522112+00:00,Charlie’s Kid,,,,,,,,,,2025-08-08T17:43:19.522112+00:00
UPhNn6lYV90,2025-08-08T17:44:21.881133+00:00,Performing Artists,,,,,,,,,,2025-08-08T17:44:21.881133+00:00
MvRYtHi-ldg,2025-08-08T19:43:47.840828+00:00,Every Open Door,,,,,,,,,,2025-08-08T19:43:47.840828+00:00
xG-iKOC7v6c,2025-08-08T20:09:45.451378+00:00,No Sway No How,,,,,,,,,,2025-08-08T20:09:45.451378+00:00
QWO1JhaNdYA,2025-08-08T21:42:56.505361+00:00,Restoration,,,,,,,,,,2025-08-08T21:42:56.505361+00:00
g9WDv0u0oOE,2025-08-10T05:53:19.407556+00:00,Humility,,,,,,,,,,2025-08-10T05:53:19.407556+00:00
fZyRRC_4uA0,2025-08-10T06:13:22.270183+00:00,Word of God,,,,,,,,,,2025-08-10T06:13:22.270183+00:00
NjTawfW4is8,2025-08-10T06:13:44.41619+00:00,True to Self,,,,,,,,,,2025-08-10T06:13:44.41619+00:00
3Fy-HXm1n88,2025-08-11T23:17:22.00459+00:00,Truth & Consequences,,,,,,,,,,2025-08-11T23:17:22.00459+00:00
PJuNPAWqdwQ,2025-08-11T23:18:09.354505+00:00,He Came to His Own,,,,,,,,,,2025-08-11T23:18:09.354505+00:00
5hv6eCXIofM,2025-08-12T06:08:07.929662+00:00,One-ness with God,,,,,,,,,,2025-08-12T06:08:07.929662+00:00
5AZnLTKztVg,2025-08-12T21:21:20.259472+00:00,TransRationalBlues: West Coast Download,,,,,,,,,,2025-08-12T21:21:20.259472+00:00
dOHc7fg7WSo,2025-08-14T07:40:15.178608+00:00,Hecklers & Hate Mail,,,,,,,,,,2025-08-14T07:40:15.178608+00:00
7_20zIG2Ghs,2025-08-15T06:33:14.730068+00:00,One with God?,,,,,,,,,,2025-08-15T06:33:14.730068+00:00
zbgiE7vTz8Q,2025-08-15T06:33:56.9672+00:00,Column Christianity,,,,,,,,,,2025-08-15T06:33:56.9672+00:00
3lmKwk6zMLs,2025-08-15T06:34:39.192+00:00,What Can We Do?,,,,,,,,,,2025-08-15T06:34:39.192+00:00
NJQMfpzm_yc,2025-08-15T06:35:14.389778+00:00,Complicity,,,,,,,,,,2025-08-15T06:35:14.389778+00:00
p7nqUZdRfHo,2025-08-15T13:33:18.734646+00:00,Christ Authority,,,,,,,,,,2025-08-15T13:33:18.734646+00:00
_6AZebUx0aY,2025-08-17T05:22:42.520512+00:00,L&tEoW: Labor and the Expression of Worth,,,,,,,,,,2025-08-17T05:22:42.520512+00:00
pugCeJeLEo0,2025-08-24T23:09:17.736724+00:00,L&tEoW: Worth Fighting For,,,,,,,,,,2025-08-24T23:09:17.736724+00:00
07NeEdmJ9Jc,2025-08-25T23:08:29.536646+00:00,"Vulnerability, Art, & Love",,,,,,,,,,2025-08-25T23:08:29.536646+00:00
dUSOyYCBEDs,2025-08-26T09:58:18.375358+00:00,Unspeakable Word,,,,,,,,,,2025-08-26T09:58:18.375358+00:00
q7cgb5HLis4,2025-08-27T21:14:22.935574+00:00,L&tEoW: Christ Offering,,,,,,,,,,2025-08-27T21:14:22.935574+00:00
_LiQs1cYRgU,2025-08-27T21:15:10.062316+00:00,L&tEoW: Christ Offering,,,,,,,,,,2025-08-27T21:15:10.062316+00:00
aV_JbG9DPZU,2025-08-30T16:21:19.154355+00:00,Characteristics of Wisdom,,,,,,,,,,2025-08-30T16:21:19.154355+00:00
AqFt1o5sKXc,2025-08-31T21:46:17.465067+00:00,Resisting In Love,,,,,,,,,,2025-08-31T21:46:17.465067+00:00
X6SpduBv8gE,2025-09-01T09:46:30.466708+00:00,Non-Judgment Practice,,,,,,,,,,2025-09-01T09:46:30.466708+00:00
o8tHxzSD8R4,2025-09-01T09:47:45.632292+00:00,Meditation & Postural Awareness,,,,,,,,,,2025-09-01T09:47:45.632292+00:00
9BgxLT0VjMs,2025-09-01T10:15:03.193115+00:00,Minneapolis Shooting & Mental Health Radar,,,,,,,,,,2025-09-01T10:15:03.193115+00:00
DreEanbAx_c,2025-09-01T10:41:56.624402+00:00,Three Kind Breaths,,,,,,,,,,2025-09-01T10:41:56.624402+00:00
kZmH8cWVxrE,2025-09-01T16:27:56.395316+00:00,Spiritual Poverty,,,,,,,,,,2025-09-01T16:27:56.395316+00:00
YLeRekuDstA,2025-09-01T23:05:39.41473+00:00,"Flat Earth, Absolute Truth, & Horizons",,,,,,,,,,2025-09-01T23:05:39.41473+00:00
VR8SB_j9aq8,2025-09-08T01:19:24.51654+00:00,Babylon Christianity: Mesmerized by Consumer Culture? You are Forgiven,,,,,,,,,,2025-09-08T01:19:24.51654+00:00
zVoNOID-vN0,2025-09-08T05:26:34.890874+00:00,Authentic Intelligence University,,,,,,,,,,2025-09-08T05:26:34.890874+00:00
pJbzzY-o0Ps,2025-09-08T10:51:02.250999+00:00,L&tEoW,,,,,,,,,,2025-09-08T10:51:02.250999+00:00
tewGpP7mKGs,2025-09-08T11:15:50.33146+00:00,"HALT: Hungry, Angry, Lonely, Tired",,,,,,,,,,2025-09-08T11:15:50.33146+00:00
n1e6ewtwth4,2025-09-08T11:27:41.327128+00:00,"Thanks, Meta AI!",,,,,,,,,,2025-09-08T11:27:41.327128+00:00
uQxahKN8DTc,2025-09-08T22:25:24.761685+00:00,"98.7 FM Winds of Praise, Newport Oregon",,,,,,,,,,2025-09-08T22:25:24.761685+00:00
IChZA6Zlkq0,2025-09-09T11:35:33.968249+00:00,authentic intelligence university,,,,,,,,,,2025-09-09T11:35:33.968249+00:00
9dF6eC4L3GU,2025-09-09T11:50:53.008364+00:00,A junction,,,,,,,,,,2025-09-09T11:50:53.008364+00:00
75Oy3NmCc98,2025-09-09T13:47:47.010746+00:00,You’ve Got A Friend,,,,,,,,,,2025-09-09T13:47:47.010746+00:00
kFS1HF1P4vY,2025-09-10T05:39:13.44484+00:00,Worship His Holy Name,,,,,,,,,,2025-09-10T05:39:13.44484+00:00
-185ozndDVk,2025-09-10T06:06:48.58368+00:00,Lusts of the Flesh & Self Control,,,,,,,,,,2025-09-10T06:06:48.58368+00:00
4sJEWDUWQmQ,2025-09-10T07:12:58.991379+00:00,Paper Routes & Generational Trauma,,,,,,,,,,2025-09-10T07:12:58.991379+00:00
jbSPzjJ_3qA,2025-09-10T21:28:18.660005+00:00,Freedom from Christianity through Christ,,,,,,,,,,2025-09-10T21:28:18.660005+00:00
PKPOYVLYAlA,2025-09-10T23:50:52.150683+00:00,TravelinTrav's TravelinStringCamp,,,,,,,,,,2025-09-10T23:50:52.150683+00:00
2BKjbd-6Hfg,2025-09-11T13:38:30.405758+00:00,L&tEoW,,,,,,,,,,2025-09-11T13:38:30.405758+00:00
XJ3p6mReO0I,2025-09-11T13:38:54.045686+00:00,Never Forget 9/11,,,,,,,,,,2025-09-11T13:38:54.045686+00:00
2TAUKrZbrlA,2025-09-12T13:42:27.143338+00:00,What do we all have in Common?,,,,,,,,,,2025-09-12T13:42:27.143338+00:00
ItRE4FBcqew,2025-09-13T05:20:14.908899+00:00,What is authentic intelligence?,,,,,,,,,,2025-09-13T05:20:14.908899+00:00
YRChMgp_QEw,2025-09-13T07:08:38.136955+00:00,Authentic Intelligence University: Time to Shine,,,,,,,,,,2025-09-13T13:41:43.094904+00:00
nAKYxUai_E0,2025-09-13T07:26:04.161514+00:00,TravelinTrav at the Hideaway,,,,,,,,,,2025-09-13T07:26:04.161514+00:00
mLxjzpYzHkE,2025-09-13T08:14:29.969936+00:00,Christ’s Blood on our Hands,,,,,,,,,,2025-09-13T08:14:29.969936+00:00
CvB8BUBYCS8,2025-09-14T13:48:38.55229+00:00,Enough,,,,,,,,,,2025-09-14T13:48:38.55229+00:00
iV9npGdh2Ag,2025-09-19T06:47:32.105956+00:00,Authentic Intelligence University #1,,,,,,,,,,2025-09-19T06:47:32.105956+00:00
FF1bVNhDkHU,2025-09-19T18:43:13.610793+00:00,An Open Letter to Ananias & Sapphira,,,,,,,,,,2025-09-19T18:43:13.610793+00:00
2TcpfkUYcMI,2025-09-20T13:41:19.011308+00:00,"Rise Up, Sons & Daughters!",,,,,,,,,,2025-09-20T13:41:19.011308+00:00
6qaVrWAxDXM,2025-09-20T19:35:31.365697+00:00,AIU: 12 steps and the Truth,,,,,,,,,,2025-09-20T19:36:11.119899+00:00
X7J1TjQiYh0,2025-09-21T12:52:57.914052+00:00,Freedom From Suffering,,,,,,,,,,2025-09-21T12:52:57.914052+00:00
fFhLXU_7TQI,2025-09-21T16:07:01.309878+00:00,Authentic Intelligence University,,,,,,,,,,2025-09-21T16:07:01.309878+00:00
05fK_8Feu1A,2025-09-21T16:28:23.808074+00:00,AIU,,,,,,,,,,2025-09-21T16:28:23.808074+00:00
q2ifeOfZ5EA,2025-09-21T16:34:53.014056+00:00,Boots on the Ground,,,,,,,,,,2025-09-21T16:34:53.014056+00:00
XNWLsA7BEsQ,2025-09-21T18:08:17.778012+00:00,Another Non-Binary Teaching,,,,,,,,,,2025-09-21T18:08:17.778012+00:00
x2O1Wj1BWHg,2025-09-23T00:58:55.068388+00:00,I Will Praise Your Holy Name,,,,,,,,,,2025-09-23T00:58:55.068388+00:00
k4_I9NED4H8,2025-09-23T01:55:38.253617+00:00,Authentic Intelligence University,,,,,,,,,,2025-09-23T01:55:38.253617+00:00
uEH6TW6D930,2025-09-23T05:05:35.81153+00:00,Grace,,,,,,,,,,2025-09-23T05:05:35.81153+00:00
OgKKLs0BKJ4,2025-09-23T12:43:51.789724+00:00,Authentic Intelligence University: Promises,,,,,,,,,,2025-09-23T12:43:51.789724+00:00
oAEJMQAJzTs,2025-09-24T12:01:35.854042+00:00,Move On,,,,,,,,,,2025-09-24T12:01:35.854042+00:00
g6YPOcsraGM,2025-09-26T10:13:23.685525+00:00,Jacob Lee & Darienne Nez,,,,,,,,,,2025-09-26T10:13:23.685525+00:00
i5nnDLDdloQ,2025-09-27T22:23:06.324906+00:00,Tóʼahani fashions & Jacob Lee ,,,,,,,,,,2025-09-27T22:44:33.29059+00:00
m8LwKSyJeYg,2025-09-28T14:11:43.882018+00:00,Hozho: Jacob Lee & Darienne Nez,,,,,,,,,,2025-09-28T14:11:43.882018+00:00
yFJsQwVteTE,2025-09-29T13:02:02.989925+00:00,A night on the Rez,,,,,,,,,,2025-09-29T13:02:02.989925+00:00
inXnWtwbj7M,2025-10-02T18:04:07.300407+00:00,Rise Up Now,,,,,,,,,,2025-10-02T18:04:07.300407+00:00
W2gefdoIUSw,2025-10-31T16:44:00.98137+00:00,We Are The Light,,,,,,,,,,2025-10-31T16:44:00.98137+00:00
RaiNHZkswko,2025-11-28T15:27:50.580052+00:00,Trav’s Autumn Adventures,,,,,,,,,,2025-11-28T15:27:50.580052+00:00
geI76mNez9k,2025-12-09T13:45:05.749499+00:00,Trav,,,,,,,,,,2025-12-09T13:45:05.749499+00:00
5LlPVkT5zt0,2025-12-10T11:26:58.521987+00:00,The Dream Is Us,,,,,,,,,,2025-12-10T11:37:52.59975+00:00
xU3xhy3JcWg,2025-12-17T14:55:10.997635+00:00,Chasing Leaves,,,,,,,,,,2025-12-17T14:55:10.997635+00:00
yA3CgcISDOY,2025-12-20T03:32:20.003411+00:00,Hozho,,,,,,,,,,2025-12-20T03:32:20.003411+00:00
Bf8HqVIASMU,2025-12-22T21:16:56.49416+00:00,Covid-Era Awakenings,,,,,,,,,,2025-12-22T21:16:56.49416+00:00
SVu_1FkNGYU,2025-12-30T18:04:13.819544+00:00,The Dream Is Us,,,,,,,,,,2025-12-30T18:04:13.819544+00:00





