Video ID,Video Recording Date,Video Recording Altitude,Video Recording Latitude,Video Recording Longitude
QnBzG-u7ICc,,0,0,0
jnkvOq9tE_w,,0,0,0
MJQgn1syt_E,,0,0,0
SQgP0nQdvQ0,,0,0,0
Yvd81g6tWyk,,0,0,0
fz1-bQu8HYs,,0,0,0
nPMtdnwHrwM,,0,0,0
g_pgVAANHI0,,0,0,0
70fYlraXPQ8,,0,0,0
BmUV_xaszy4,,0,0,0
TXcqDdWJE60,,0,0,0
y27MAy8cpIg,,0,0,0
7tAxIDU_0kE,,0,0,0
OJnFxRdX2-A,,0,0,0
_5am351tyAA,,0,0,0
aP16agfaMmg,,0,0,0
SjvwHCaJBOY,,0,0,0
yI2QEM0v530,,0,0,0
aVD7FhCh2_s,,0,0,0
NbL4stOa9pA,,0,0,0
SH0duvcR-Vg,,0,0,0
1qv4a6Pfra0,,0,0,0
xsyluMKiZJQ,,0,0,0
vUTxtZmudwE,,0,0,0
BKWkFoQG_Ds,,0,0,0
XE_MBSGEDuU,,0,0,0
In4zYNGvAXc,,0,0,0
hOxyxFojdcg,,0,0,0
 -lL7xDdy2YM,,0,0,0
Y-wXiYkum8I,,0,0,0
2ZxUkLfj4jc,,0,0,0
9u1rJQgVlzw,,0,0,0





