Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Description Text Segments 2,Video Description Text Segments 3,Video Description Text Segments 4,Video Description Text Segments 5,Video Description Text Segments 6,Video Description Text Segments 7,Video Description Text Segments 8,Video Description Text Segments 9,Video Title Text Segments 1,Video Title Text Segments 2,Video Title Text Segments 3,Video Title Text Segments 4,Video Title Text Segments 5,Video Title Text Segments 6,Video Title Text Segments 7,Video Title Text Segments 8,Video Title Text Segments 9,Video Title Text Segments 10,Video Title Text Segments 11,Video Title Text Segments 12,Video Title Text Segments 13,Video Title Text Segments 14,Video Text Update Timestamp
ENUs1oTr1Oo,2025-01-11T04:19:58.175737+00:00,,,,,,,,,,Going For Freedom,,,,,,,,,,,,,,2025-01-11T04:19:58.175737+00:00
ecf-KIfjuV4,2025-01-11T04:21:20.969796+00:00,,,,,,,,,,Aspiring To Greatness,,,,,,,,,,,,,,2025-01-11T04:21:20.969796+00:00
MaDGwUTUtWg,2025-01-11T06:37:33.735347+00:00,,,,,,,,,,TravelinTrav Gitar,,,,,,,,,,,,,,2025-01-11T06:37:33.735347+00:00
9QGbzT3wKd8,2025-01-11T11:49:19.002023+00:00,,,,,,,,,,My Prayer Language,,,,,,,,,,,,,,2025-01-11T11:49:19.002023+00:00
5HioAfWVBrw,2025-01-11T15:05:11.36293+00:00,,,,,,,,,,I’d Be Wrong (But I’d Be Alright),,,,,,,,,,,,,,2025-01-11T15:05:11.36293+00:00
y_glzYHnyGo,2025-01-11T15:09:24.356962+00:00,,,,,,,,,,I’d Be Wrong (But I’d Be Alright),,,,,,,,,,,,,,2025-01-11T15:09:24.356962+00:00
E3PluRzJtK0,2025-01-13T07:55:13.946258+00:00,,,,,,,,,,Red Dirt Jesus,,,,,,,,,,,,,,2025-01-13T07:55:13.946258+00:00
GmTHcy9I7Zc,2025-01-14T15:14:39.259895+00:00,,,,,,,,,,Learn To Sing The Blues,,,,,,,,,,,,,,2025-01-14T15:14:39.259895+00:00
IAqUGD14ZF4,2025-01-14T17:20:04.431163+00:00,,,,,,,,,,RhetoricalNature: If/Then,,,,,,,,,,,,,,2025-01-14T17:20:04.431163+00:00
Tugl1RTPJMg,2025-01-14T17:39:13.577272+00:00,,,,,,,,,,"DeepestWord, RhetoricalNature, & SovereignNature",,,,,,,,,,,,,,2025-01-14T17:39:13.577272+00:00
0wqaZSfb9nU,2025-01-14T19:13:45.767229+00:00,,,,,,,,,,TravelinTrav’s Deep Archive,,,,,,,,,,,,,,2025-01-14T19:13:45.767229+00:00
A3EBZk6zwEM,2025-01-14T19:45:14.852886+00:00,,,,,,,,,,TravelinTrav DeepArchive,,,,,,,,,,,,,,2025-01-14T19:45:14.852886+00:00
_u3bHKdz2Oc,2025-01-15T17:41:24.782676+00:00,,,,,,,,,,Christ Devotion,,,,,,,,,,,,,,2025-07-07T17:10:27.882215+00:00
HTEmtwmkUDg,2025-01-15T18:32:37.085044+00:00,,,,,,,,,,Rescue Boat,,,,,,,,,,,,,,2025-01-15T18:32:37.085044+00:00
uUjMhV_0Pc0,2025-01-15T20:12:20.268325+00:00,,,,,,,,,,“Bird Lives” Matters: The Next 12 Bars,,,,,,,,,,,,,,2025-01-15T20:28:29.423563+00:00
KmL8W8GNHB4,2025-01-15T22:01:12.617861+00:00,,,,,,,,,,"Dear Grace, Associate Pastor Todd, & The Stallion",,,,,,,,,,,,,,2025-01-15T22:01:12.617861+00:00
OwmEqw_iMgk,2025-01-16T03:02:05.548869+00:00,,,,,,,,,,Those Who Cross Over,,,,,,,,,,,,,,2025-01-16T03:02:05.548869+00:00
lfC42F6QWcM,2025-01-16T05:41:37.872123+00:00,,,,,,,,,,Those of us who went a little mad,,,,,,,,,,,,,,2025-01-16T05:41:37.872123+00:00
5gjQbVgMOkU,2025-01-16T06:58:24.569963+00:00,,,,,,,,,,Frequency Arrangements,,,,,,,,,,,,,,2025-01-16T06:58:24.569963+00:00
ADk5iAn7toU,2025-01-16T20:21:17.564126+00:00,,,,,,,,,,Don’t Ever Give Up!,,,,,,,,,,,,,,2025-01-16T20:21:17.564126+00:00
HcOoYIpSNBU,2025-01-16T22:35:41.098618+00:00,,,,,,,,,,Eye Of The Hurricane,,,,,,,,,,,,,,2025-01-16T22:35:41.098618+00:00
HPX80FPh_X0,2025-01-17T23:05:51.992274+00:00,,,,,,,,,,He Is The Vine,,,,,,,,,,,,,,2025-01-17T23:05:51.992274+00:00
oIGnfAtVZOI,2025-01-17T23:34:35.707641+00:00,,,,,,,,,,Spirit Rise,,,,,,,,,,,,,,2025-01-17T23:34:35.707641+00:00
Nl9oVph56L4,2025-01-18T02:28:51.22958+00:00,,,,,,,,,,"Deeper Power, Deeper Love",,,,,,,,,,,,,,2025-01-18T02:36:40.224931+00:00
aY68caABEK8,2025-01-18T03:20:53.404235+00:00,,,,,,,,,,"Deeper Power, Deeper Love ",#strings, ,#guitar, ,#jesus, ,#awakening,,,,,,,2025-01-18T03:20:53.404235+00:00
FjIGZ7ZFihU,2025-01-18T04:26:30.583522+00:00,,,,,,,,,,Me & Pastor Todd,,,,,,,,,,,,,,2025-01-18T04:26:30.583522+00:00
 -n4e_SRToH0,2025-01-18T04:29:03.211437+00:00,,,,,,,,,,TravełinTrav Gitar,,,,,,,,,,,,,,2025-01-18T04:29:03.211437+00:00
POpRPaL3h88,2025-01-18T04:31:48.270007+00:00,,,,,,,,,,Workin’ Man Blues,,,,,,,,,,,,,,2025-01-18T04:31:48.270007+00:00
crLYCZtHr4g,2025-01-18T04:36:42.856326+00:00,,,,,,,,,,Does anyone know what this horse is saying?,,,,,,,,,,,,,,2025-01-18T04:36:42.856326+00:00
dsPWbb264rw,2025-01-19T04:26:08.777325+00:00,,,,,,,,,,We Trust in The One,,,,,,,,,,,,,,2025-01-19T04:26:08.777325+00:00
jXXsdj0wgcg,2025-01-20T08:46:13.328675+00:00,#guitar, ,#blues, ,#transcendence, ,#jesus, ,#iam,TravelinTrav’s TransRationalBlues,,,,,,,,,,,,,,2025-01-20T08:46:13.328675+00:00
cHBkpAmDBQg,2025-01-20T08:51:13.205412+00:00,#guitar, ,#blues, ,#transcendence, ,#jesus, ,#iam,TravelinTrav’s TransRationalBlues ,#guitar, ,#transcend, ,#awakening, ,#blues, ,#jazz, ,#jesus, ,#spiraldynamics,2025-01-20T08:51:13.205412+00:00
gKhBIvzbSqI,2025-01-20T19:42:04.032347+00:00,,,,,,,,,,"Claire’s Camera, Cat’s Flowers, & Strange Primates",,,,,,,,,,,,,,2025-01-20T19:42:04.032347+00:00
ENyQj8ds1Io,2025-01-22T18:26:59.004876+00:00,,,,,,,,,,TravelinStringCamp: A|B FOX,,,,,,,,,,,,,,2025-01-22T18:26:59.004876+00:00
B2MQd-0BNXI,2025-01-23T20:54:28.972437+00:00,,,,,,,,,,That ain’t Love,,,,,,,,,,,,,,2025-01-23T20:54:28.972437+00:00
L7Xve_DAblY,2025-01-25T06:38:17.352746+00:00,,,,,,,,,,The Vine ,#guitar, ,#strings, ,#acousticmusic, ,#awakening, ,#lookatme, ,#haha,,,2025-01-25T06:38:17.352746+00:00
cecA3yE8UoM,2025-01-25T17:31:14.948613+00:00,,,,,,,,,,TravelinStringCamp: Scissor~Tales,,,,,,,,,,,,,,2025-01-25T17:31:14.948613+00:00
W4nYnegTCuo,2025-01-25T18:24:59.200743+00:00,,,,,,,,,,Scissor~Tales Band ,#livemusic, ,#okcmusic,,,,,,,,,,,2025-01-25T18:24:59.200743+00:00
zB6Pl4WnZ-s,2025-01-27T03:27:27.525434+00:00,,,,,,,,,,"Coltrane’s Resolution, Found Jesus In a Growhouse, & The Vine",,,,,,,,,,,,,,2025-01-27T03:27:27.525434+00:00
iexaIOqiL4w,2025-01-27T03:29:54.142941+00:00,,,,,,,,,,I Found Jesus In A Growhouse,,,,,,,,,,,,,,2025-01-27T03:29:54.142941+00:00
Ke99DC42rr8,2025-01-27T17:23:40.700632+00:00,,,,,,,,,,I Found Jesus In A Growhouse,,,,,,,,,,,,,,2025-01-27T17:23:40.700632+00:00
zt8EDRt1uCI,2025-01-27T19:07:09.822792+00:00,,,,,,,,,,TravelinStringCamp,,,,,,,,,,,,,,2025-01-27T19:07:09.822792+00:00
eh6KYmsJs_U,2025-01-28T03:09:26.075438+00:00,,,,,,,,,,The Violin Dream (I mean “fiddle”),,,,,,,,,,,,,,2025-01-28T09:07:47.244361+00:00
hDbfzl9Vu7Q,2025-01-28T03:13:11.237245+00:00,,,,,,,,,,TravelinStringCamp ,#guitar, ,#guitarlesson, ,#awakening, ,#bitcoin, ,#jesus, ,#newmusic,,,2025-01-28T03:13:11.237245+00:00
M3zATLLGHOk,2025-01-28T09:02:54.424669+00:00,,,,,,,,,,Jack The Horse,,,,,,,,,,,,,,2025-01-28T09:02:54.424669+00:00
zQ2oPfWOflc,2025-01-28T09:06:20.638881+00:00,,,,,,,,,,Jack The Horse (played by Jacqueline The Horse),,,,,,,,,,,,,,2025-01-28T09:07:14.192045+00:00
BXofjX-JC7g,2025-01-31T19:26:15.737384+00:00,,,,,,,,,,TravelinStringCamp: Timothy Bence — Father’s Friends (Part 1),,,,,,,,,,,,,,2025-01-31T20:06:03.96451+00:00
UwtjRqSN1BU,2025-01-31T21:16:59.057997+00:00,,,,,,,,,,Father’s Friends,,,,,,,,,,,,,,2025-01-31T21:16:59.057997+00:00
6VM3Oaj_8tU,2025-02-01T15:59:05.697031+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-02-01T15:59:05.697031+00:00
htQiIV6rrYc,2025-02-02T04:54:24.50723+00:00,,,,,,,,,,Travelin Trav is live!,,,,,,,,,,,,,,2025-02-02T04:54:24.50723+00:00
6LDIcBia9Bc,2025-02-02T12:17:18.265523+00:00,,,,,,,,,,Power of Music!,,,,,,,,,,,,,,2025-02-02T12:17:18.265523+00:00
lHV3xTWnYek,2025-02-02T12:18:44.646932+00:00,,,,,,,,,,Ocean Of G-d,,,,,,,,,,,,,,2025-02-02T12:37:14.520129+00:00
PLR5c0vQI7I,2025-03-03T20:36:10.840485+00:00,,,,,,,,,,Levitical Subdivisions & Coming Home,,,,,,,,,,,,,,2025-03-03T20:36:10.840485+00:00
5BzTBEThMBc,2025-03-05T19:56:59.149783+00:00,,,,,,,,,,I’ll Be Humming,,,,,,,,,,,,,,2025-03-05T19:56:59.149783+00:00
qvMp4KpXTD4,2025-04-03T22:09:15.052442+00:00,,,,,,,,,,"Pilgrimage, Peak Experience, & El Hermitaño",,,,,,,,,,,,,,2025-04-03T22:09:15.052442+00:00
5OPZqfIyJjI,2025-04-04T04:31:16.746997+00:00,,,,,,,,,,True Mythological Nature,,,,,,,,,,,,,,2025-04-04T04:31:16.746997+00:00
5pbI7IuyXOU,2025-04-05T11:20:22.557939+00:00,,,,,,,,,,Investigative Journalists Rule,,,,,,,,,,,,,,2025-04-05T11:20:22.557939+00:00
EKTWdGHNWMs,2025-04-06T15:34:11.225466+00:00,,,,,,,,,,Hiding Behind The Moon,,,,,,,,,,,,,,2025-04-06T15:34:11.225466+00:00
jBGvb0AfwT8,2025-04-07T15:34:30.603271+00:00,,,,,,,,,,"Great Mother, What Now?",,,,,,,,,,,,,,2025-04-07T15:34:30.603271+00:00
JNlqGviOZj4,2025-04-08T12:42:52.838976+00:00,,,,,,,,,,"Great Mother, What Now? & Prayers for Gemma",,,,,,,,,,,,,,2025-04-08T12:42:52.838976+00:00
th-XIn8u0CQ,2025-04-09T16:03:26.014248+00:00,,,,,,,,,,Spreading Ashes & Calling BS,,,,,,,,,,,,,,2025-04-09T16:03:26.014248+00:00
5feBKqJ3OTg,2025-04-10T01:32:14.196883+00:00,,,,,,,,,,"Red Dirt Justice, Mr Anderson, Civil Disobedience, & IndigieFemme",,,,,,,,,,,,,,2025-04-10T01:32:14.196883+00:00
yzCnjEfB4wE,2025-04-10T15:31:10.756807+00:00,,,,,,,,,,"Rubber Soul, Dead Heads, & Apologies to Ringo",,,,,,,,,,,,,,2025-04-10T15:31:10.756807+00:00
Z0d85IDVluo,2025-04-10T15:32:25.044295+00:00,,,,,,,,,,"Rubber Soul, Dead Heads, & Apologies to Ringo",,,,,,,,,,,,,,2025-04-10T15:32:25.044295+00:00
5vZN0Aik8Vg,2025-04-14T16:20:43.135991+00:00,,,,,,,,,,"Music Education, Improvisation, & The Borg",,,,,,,,,,,,,,2025-04-14T16:20:43.135991+00:00
AP6c66Hwv-s,2025-04-15T13:52:29.911988+00:00,,,,,,,,,,Coming Home: ENMU Jazz Festival,,,,,,,,,,,,,,2025-04-15T13:52:29.911988+00:00
kV32dKInBRs,2025-04-15T14:48:27.573696+00:00,,,,,,,,,,TransRationalBlues: Coming Home,,,,,,,,,,,,,,2025-04-15T14:48:27.573696+00:00
6SQVASJ24Ec,2025-04-16T20:37:25.87925+00:00,,,,,,,,,,Judas Mendicant,,,,,,,,,,,,,,2025-04-16T20:37:25.87925+00:00
unl24pAv0I8,2025-04-17T11:59:27.79817+00:00,,,,,,,,,,Judas Mendicant: Autobiographical Artists,,,,,,,,,,,,,,2025-04-17T11:59:27.79817+00:00
uiwnUcQgjH0,2025-04-17T14:19:28.236429+00:00,,,,,,,,,,TravelinTrav Coming Home,,,,,,,,,,,,,,2025-04-17T14:19:28.236429+00:00
mX0l1ZTOZXQ,2025-04-17T16:53:29.744843+00:00,,,,,,,,,,TravelinTrav Come Home,,,,,,,,,,,,,,2025-04-17T16:53:29.744843+00:00
9EH_PLbVVGo,2025-04-18T16:11:16.598142+00:00,,,,,,,,,,"Genetic Drift, Blues Persona & Little Churches",,,,,,,,,,,,,,2025-04-18T16:11:16.598142+00:00
mIf2thc6PS8,2025-04-18T16:11:46.438072+00:00,,,,,,,,,,Christ Evolution,,,,,,,,,,,,,,2025-04-18T16:11:46.438072+00:00
1y7AXd3yvL4,2025-04-18T21:27:36.747785+00:00,,,,,,,,,,"Ron Shipp’s Shop, The Big Empty, & One Woman’s Trash",,,,,,,,,,,,,,2025-04-18T21:27:36.747785+00:00
kVG6bQQWIWE,2025-04-19T19:15:17.726009+00:00,,,,,,,,,,Judas Mendicant,,,,,,,,,,,,,,2025-04-19T19:15:17.726009+00:00
097fYC-wDW8,2025-04-21T05:02:33.720262+00:00,,,,,,,,,,Sing Your Freedom Song,,,,,,,,,,,,,,2025-04-21T05:02:33.720262+00:00
BaRPlXpV9iQ,2025-04-21T18:35:25.993684+00:00,,,,,,,,,,Greater Works Than These,,,,,,,,,,,,,,2025-04-21T18:35:25.993684+00:00
M3oYXlYAlTc,2025-04-22T20:14:06.703345+00:00,,,,,,,,,,The Light In You,,,,,,,,,,,,,,2025-04-22T20:14:06.703345+00:00
1f44tISxPds,2025-04-24T21:56:28.437652+00:00,,,,,,,,,,Evolutionary Threshold,,,,,,,,,,,,,,2025-04-24T21:56:28.437652+00:00
TOH1kP-VS3k,2025-04-25T05:35:35.883993+00:00,,,,,,,,,,Working With Grief,,,,,,,,,,,,,,2025-04-25T05:35:35.883993+00:00
dkzaYIfTRLU,2025-04-30T16:40:17.590168+00:00,,,,,,,,,,Life as Musical,,,,,,,,,,,,,,2025-04-30T16:40:17.590168+00:00
_hdbW8lWXbA,2025-04-30T16:43:49.614411+00:00,,,,,,,,,,What I Have Seen In the Light,,,,,,,,,,,,,,2025-04-30T16:43:49.614411+00:00
sBJXyk_5P1Q,2025-04-30T16:44:41.714029+00:00,,,,,,,,,,The Light In You,,,,,,,,,,,,,,2025-04-30T16:44:41.714029+00:00
tThVzPb8dHw,2025-05-01T19:40:49.472009+00:00,,,,,,,,,,NonBinaryAwareness,,,,,,,,,,,,,,2025-05-01T19:40:49.472009+00:00
IMqRF3KRqC8,2025-05-02T01:54:16.461149+00:00,,,,,,,,,,Tikun Olam,,,,,,,,,,,,,,2025-05-02T01:54:16.461149+00:00
shwHeTIOjnE,2025-05-02T22:33:16.847236+00:00,,,,,,,,,,Collaborative Culture Marketing,,,,,,,,,,,,,,2025-05-02T22:33:16.847236+00:00
ODtehig3h6w,2025-05-11T13:18:22.652904+00:00,,,,,,,,,,Let Life Do the Livin’,,,,,,,,,,,,,,2025-05-11T13:18:22.652904+00:00
0F6AnxtR1Hg,2025-05-11T13:25:12.965315+00:00,,,,,,,,,,Let Life Do the Livin’,,,,,,,,,,,,,,2025-05-11T13:25:12.965315+00:00
b1QCzJmO_lU,2025-05-11T13:51:49.634451+00:00,,,,,,,,,,Self-Inspired self confession,,,,,,,,,,,,,,2025-05-11T13:51:49.634451+00:00
7CZrMMuyqig,2025-05-11T20:30:21.681649+00:00,,,,,,,,,,Learn to Sing the Blues,,,,,,,,,,,,,,2025-05-11T20:30:21.681649+00:00
FEbrUltJCYI,2025-05-12T15:22:56.647864+00:00,,,,,,,,,,Come Home: Things We Know,,,,,,,,,,,,,,2025-05-12T15:22:56.647864+00:00
Jg4yNQXYvUw,2025-05-12T21:06:06.569969+00:00,,,,,,,,,,Teaching Philosophy,,,,,,,,,,,,,,2025-05-12T21:06:06.569969+00:00
kAQW86MTcUk,2025-05-12T21:16:45.774299+00:00,,,,,,,,,,Obey The Government,,,,,,,,,,,,,,2025-05-12T21:16:45.774299+00:00
0QJk488XUWQ,2025-05-13T23:28:33.269281+00:00,,,,,,,,,,Prodigal Sons & Prodigal Peoples,,,,,,,,,,,,,,2025-05-13T23:28:33.269281+00:00
DEBFlr8tjac,2025-05-13T23:36:06.113906+00:00,,,,,,,,,,Prodigal Sons & Prodigal Peoples,,,,,,,,,,,,,,2025-05-13T23:36:06.113906+00:00
L8Q_1rMz5ew,2025-05-17T17:06:46.019537+00:00,,,,,,,,,,Arizona,,,,,,,,,,,,,,2025-05-17T17:06:46.019537+00:00
0rXuZU0Jh7k,2025-05-17T17:23:53.978177+00:00,,,,,,,,,,Forgiveness & The Son of God,,,,,,,,,,,,,,2025-05-17T17:23:53.978177+00:00
SD5BuCfaoOQ,2025-05-17T17:24:12.164439+00:00,,,,,,,,,,Fine Line,,,,,,,,,,,,,,2025-05-17T17:24:12.164439+00:00
_0fWo431Sm0,2025-05-19T13:28:37.1061+00:00,,,,,,,,,,We love because we were first loved,,,,,,,,,,,,,,2025-05-19T13:28:37.1061+00:00
BgQYfv7KVJA,2025-05-21T16:55:23.697525+00:00,,,,,,,,,,San Diego: Beyond the Tidal Pool,,,,,,,,,,,,,,2025-05-21T16:55:23.697525+00:00
lAmrGf7ApDk,2025-06-05T21:02:13.023939+00:00,,,,,,,,,,The Nomad,,,,,,,,,,,,,,2025-06-05T21:02:13.023939+00:00
lAlPTcCOC1w,2025-06-16T22:28:02.979088+00:00,,,,,,,,,,Praise the Lord,,,,,,,,,,,,,,2025-06-16T22:28:02.979088+00:00
xyVA1QKx2vc,2025-06-20T13:33:38.395319+00:00,,,,,,,,,,"Ocean Front Office, An Invitation From A Priest, Used Bookstores, & Communion With Orcas",,,,,,,,,,,,,,2025-06-20T13:33:38.395319+00:00
54VPXv5_W8A,2025-06-23T19:34:51.540256+00:00,,,,,,,,,,"Death of Self, Eve, And Christ Resurrected In Us",,,,,,,,,,,,,,2025-06-23T19:34:51.540256+00:00
CTPtlvaB34g,2025-06-26T14:09:01.74412+00:00,,,,,,,,,,Can’t Serve Two Masters,,,,,,,,,,,,,,2025-06-26T14:09:01.74412+00:00
Wtk3IQRLQyQ,2025-06-26T14:11:31.353184+00:00,,,,,,,,,,Intimacy With Suffering & Coming to Christ,,,,,,,,,,,,,,2025-06-26T14:11:31.353184+00:00
 -GxAiuM9K3o,2025-06-26T14:12:10.15672+00:00,,,,,,,,,,Upside Down Jesus & Silly Logic,,,,,,,,,,,,,,2025-06-26T14:12:10.15672+00:00
ub2BJ6V7GMg,2025-06-26T14:13:03.794968+00:00,,,,,,,,,,Old Friends & Baffled Kings,,,,,,,,,,,,,,2025-06-26T14:13:03.794968+00:00
xcC2NuQGYso,2025-06-26T14:13:54.098162+00:00,,,,,,,,,,“Othering” Mental Illness,,,,,,,,,,,,,,2025-06-26T14:13:54.098162+00:00
8jc6WeljQfo,2025-06-26T14:16:33.533248+00:00,,,,,,,,,,Following Christ & Difficult Questions,,,,,,,,,,,,,,2025-06-26T14:16:33.533248+00:00
tZsi2Zc1vMI,2025-06-26T22:02:16.864195+00:00,,,,,,,,,,Deeper Power,,,,,,,,,,,,,,2025-06-26T22:02:16.864195+00:00
EXAkckW_3lY,2025-06-26T23:52:11.474122+00:00,,,,,,,,,,Homework for “Illness to Inspiration” class,,,,,,,,,,,,,,2025-06-26T23:52:11.474122+00:00
